slug,district,name,party_name,party_abbr,vote
rupandehi-5,Rupandehi,Bharat Kumar Shah,Nepali Congress,NC,12624
saptari-1,Saptari,Pushpa Kumari Chaudhary,Rastriya Swatantra Party,RSP,38195
saptari-1,Saptari,Sumit Kumar,Nepal Sangyhia Samajbadi Party,Ekal Chunab Chinha,7847
saptari-1,Saptari,Suman Raj Pyakurel,CPN-UML,CPN-UML,7652
saptari-2,Saptari,Ramji Yadav,Rastriya Swatantra Party,RSP,28404
saptari-2,Saptari,Umesh Kumar Yadav,Janata Samajwadi Party,JSP,14263
saptari-2,Saptari,Chandra Kant Raut,Janamat Party,Janamat,9880
saptari-3,Saptari,Amar Kant Chaudhary,Rastriya Swatantra Party,RSP,32875
saptari-3,Saptari,Upendra Yadav,Janata Samajwadi Party,JSP,15239
saptari-3,Saptari,Dinesh Kumar Yadav,Nepali Congress,NC,8428
saptari-4,Saptari,Sitaram Sah,Rastriya Swatantra Party,RSP,36412
saptari-4,Saptari,Teju Lal Chaudhary,Nepali Congress,NC,13103
saptari-4,Saptari,Banvi Singh,Janata Samajwadi Party,JSP,10280
sarlahi-1,Sarlahi,Nitima Bhandari (Karki),Rastriya Swatantra Party,RSP,44181
sarlahi-1,Sarlahi,Shambhu Lal Shrestha,Nepali Congress,NC,7871
sarlahi-1,Sarlahi,Manoj Kumar Devkota,CPN-UML,CPN-UML,6101
sarlahi-2,Sarlahi,Rabin Mahato,Rastriya Swatantra Party,RSP,42512
sarlahi-2,Sarlahi,Mahindra Raya Yadav,Nepal Communist Party,NCP,8523
sarlahi-2,Sarlahi,Dr. Saroj Kumar,Nepali Congress,NC,7039
sarlahi-3,Sarlahi,Nagendra Sah Kalwar,Rastriya Swatantra Party,RSP,46890
sarlahi-3,Sarlahi,Naryan Kaji Shrestha,Nepal Communist Party,NCP,13338
sarlahi-3,Sarlahi,Binod Kumar Khanal,Nepali Congress,NC,6624
sarlahi-4,Sarlahi,Amaresh Kumar Singh,Rastriya Swatantra Party,RSP,35688
sarlahi-4,Sarlahi,Gagan Kumar Thapa,Nepali Congress,NC,22831
sarlahi-4,Sarlahi,Amnish Kumar Yadav,CPN-UML,CPN-UML,9343
sindhuli-1,Sindhuli,Dhanendra Karki,Rastriya Swatantra Party,RSP,16659
sindhuli-1,Sindhuli,Pradip Kumar Katuwal Chhetri (K.C),CPN-UML,CPN-UML,15859
sindhuli-1,Sindhuli,Ujjwal Prasad Baral,Nepali Congress,NC,15570
sindhuli-2,Sindhuli,Aashish Gajurel,Rastriya Swatantra Party,RSP,17940
sindhuli-2,Sindhuli,Lekh Nath Dahal,Nepal Communist Party,NCP,14780
sindhuli-2,Sindhuli,Manoj Jung Thapa,CPN-UML,CPN-UML,11606
sindhupalchok-1,Sindhupalchok,Bharat Prasad Parajuli,Rastriya Swatantra Party,RSP,24412
sindhupalchok-1,Sindhupalchok,Madhav Sapkota,Nepal Communist Party,NCP,17327
sindhupalchok-1,Sindhupalchok,Saresh Nepal,CPN-UML,CPN-UML,11961
siraha-1,Siraha,Bablu Gupta,Rastriya Swatantra Party,RSP,41322
siraha-1,Siraha,Ram Sundar Chaudhary,Nepali Congress,NC,9784
siraha-1,Siraha,Ram Shankar Yadav,CPN-UML,CPN-UML,7886
siraha-2,Siraha,Shiva Shankar Yadav,Rastriya Swatantra Party,RSP,39561
siraha-2,Siraha,Ram Chandra Yadav,Nepali Congress,NC,12814
siraha-2,Siraha,Nabin Kumar Yadav,CPN-UML,CPN-UML,6713
siraha-3,Siraha,Shambhu Kumar Yadav,Rastriya Swatantra Party,RSP,32249
siraha-3,Siraha,Lilanath Shrestha,CPN-UML,CPN-UML,10156
siraha-3,Siraha,Bishwanath Sah,Nepal Communist Party,NCP,9942
siraha-4,Siraha,Tapeshowr Yadav,Rastriya Swatantra Party,RSP,36210
siraha-4,Siraha,Ajay Shankar Nayak,Nepal Communist Party,NCP,7972
siraha-4,Siraha,Birendra Prasad Mahato,Janamat Party,Janamat,5041
sunsari-2,Sunsari,Lal Bikram Thapa,Rastriya Swatantra Party,RSP,57348
sunsari-2,Sunsari,Rajib Koirala,Nepali Congress,NC,16071
sunsari-2,Sunsari,Sujan Lama,CPN-UML,CPN-UML,8303
sunsari-3,Sunsari,Ashok Kumar Chaudhary,Rastriya Swatantra Party,RSP,47421
sunsari-3,Sunsari,Bijay Kumar Gachhedar,Nepali Congress,NC,20501
sunsari-3,Sunsari,Bhagwati Chaudhary,CPN-UML,CPN-UML,15083
sunsari-4,Sunsari,Deepak Kumar Sah,Rastriya Swatantra Party,RSP,42771
sunsari-4,Sunsari,Gyanendra Bahadur Karki,Nepali Congress,NC,16587
sunsari-4,Sunsari,Jagdish Prasad Kusiyaith,CPN-UML,CPN-UML,8631
surkhet-2,Surkhet,Ramesh Kumar Sapkota,Rastriya Swatantra Party,RSP,30826
surkhet-2,Surkhet,Narayan Kumar Koirala,Nepali Congress,NC,16392
surkhet-2,Surkhet,Kulmani Devkota,CPN-UML,CPN-UML,13155
syangja-1,Syangja,Dhananjaya Regmi,Rastriya Swatantra Party,RSP,29071
syangja-1,Syangja,Bharat Raj Dhakal,Nepali Congress,NC,18857
syangja-1,Syangja,Min Prasad Gurung,CPN-UML,CPN-UML,16804
syangja-2,Syangja,Jhabi Lal Dumre,Rastriya Swatantra Party,RSP,25354
syangja-2,Syangja,Bhagwat Prakash Malla,Nepali Congress,NC,20830
syangja-2,Syangja,Khim Bahadur Thapa,CPN-UML,CPN-UML,14108
tanahun-1,Tanahun,Swarnim Wagle,Rastriya Swatantra Party,RSP,38040
tanahun-1,Tanahun,Govind Bhattarai,Nepali Congress,NC,16231
tanahun-1,Tanahun,Bhagwati Neupane,CPN-UML,CPN-UML,5653
tanahun-2,Tanahun,Shreeram Neupane,Rastriya Swatantra Party,RSP,32687
tanahun-2,Tanahun,Shankar Bhandari,Nepali Congress,NC,14135
tanahun-2,Tanahun,Kedar Sigdel,CPN-UML,CPN-UML,11668
udayapur-1,Udayapur,Paras Mani Gelal,Rastriya Swatantra Party,RSP,30590
udayapur-1,Udayapur,Rajesh Kumar Rai,Shram Sanskriti Party,SSP,11606
udayapur-1,Udayapur,Bal Dev Chaudhary,Nepal Communist Party,NCP,10021
udayapur-2,Udayapur,Surya Bahadur Tamang,Rastriya Swatantra Party,RSP,14802
udayapur-2,Udayapur,Ambar Bahadur Raimajhi,CPN-UML,CPN-UML,7648
udayapur-2,Udayapur,Ram Kumar Rai,Nepali Congress,NC,7290
achham-1,Achham,Bharat Kumar Swar,Nepali Congress,NC,10759
achham-1,Achham,Bhim Bahadur Rawal,Nepal Communist Party,NCP,10233
achham-1,Achham,Deepak Bahadur Saud,CPN-UML,CPN-UML,7389
bajura-1,Bajura,Janak Raj Giri,Nepali Congress,NC,17173
bajura-1,Bajura,Lal Bahadur Thapa,CPN-UML,CPN-UML,16633
bajura-1,Bajura,Hemraj Thapa,Rastriya Swatantra Party,RSP,6035
